YEAR,FLOW,SITC_1,DESCR_SITC_GR,DESCR_SITC_EN,VALUE IN EURO
2015,EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","3,225,170,506"
2015,EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","361,282,683"
2015,EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","1,131,680,056"
2015,EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"1,791,847,325"
2015,EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"1,055,074,998"
2015,EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"736,528,551"
2015,EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"271,136,101"
,,,,,
,,,,,
,,,,,
,,,,,
2016,IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"2,108,681,503"
2016,IMPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"265,615,581"
2016,IMPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","471,132,626"
2016,IMPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","3,332,630,432"
2016,IMPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","101,736,147"
2016,IMPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","2,951,524,520"
2016,IMPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"2,168,473,756"
2016,IMPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"4,463,131,015"
2016,IMPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"2,088,993,672"
2016,IMPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"27,862,211"
,,,,,
,,,,,
,,,,,
2016,EXPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"1,655,186,961"
2016,EXPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"309,035,449"
2016,EXPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","372,146,983"
2016,EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","2,384,663,083"
2016,EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","309,775,406"
2016,EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","1,131,327,109"
2016,EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"1,624,826,519"
2016,EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"1,087,903,947"
2016,EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"794,147,062"
2016,EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"212,546,837"
,,,,,
,,,,,
,,,,,
2017(1),IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"2,279,044,677"
2017(1),IMPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"244,391,931"
2017(1),IMPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","530,131,741"
2017(1),IMPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","5,212,757,674"
2017(1),IMPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","114,245,314"
2017(1),IMPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","3,113,260,082"
2017(1),IMPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"2,492,857,861"
2017(1),IMPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"5,574,797,927"
2017(1),IMPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"2,187,688,871"
2017(1),IMPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"132,812,232"
,,,,,
,,,,,
,,,,,
2017(1),EXPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"1,707,298,269"
2017(1),EXPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"266,628,362"
2017(1),EXPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","516,072,492"
2017(1),EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","3,820,723,984"
2017(1),EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","256,513,450"
2017(1),EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","1,251,929,618"
2017(1),EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"1,869,275,265"
2017(1),EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"1,065,506,532"
2017(1),EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"830,195,616"
2017(1),EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"218,225,396"
,,,,,
,,,,,
,,,,,
2018(1),IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"2,301,191,574"
2018(1),IMPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"265,739,009"
2018(1),IMPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","578,852,643"
2018(1),IMPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","6,003,463,753"
2018(1),IMPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","103,282,277"
2018(1),IMPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","3,329,014,172"
2018(1),IMPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"2,677,338,577"
2018(1),IMPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"4,383,271,557"
2018(1),IMPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"2,310,871,491"
2018(1),IMPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"13,208,931"
,,,,,
,,,,,
,,,,,
2018(1),EXPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"1,892,570,829"
2018(1),EXPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"277,768,731"
2018(1),EXPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","542,277,015"
2018(1),EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","4,454,279,045"
2018(1),EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","365,784,493"
2018(1),EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","1,404,738,935"
2018(1),EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"2,144,527,399"
2018(1),EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"1,208,359,600"
2018(1),EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"888,160,403"
2018(1),EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"235,960,464"
